222,1300.01,154.99,1896.29,0.080329
223,1299.31,82.94,48.69,0.178773
223,1299.31,82.94,48.69,0.178773
271,1299.05,370.97,537.63,1.146735
272,1298.87,415.64,602.36,0.925526
273,1298.84,405.30,587.38,1.083334
274,1298.76,506.56,734.13,0.996576
275,1298.90,272.86,395.45,0.768921
285,1298.67,963.64,1866.93,1.189223
287,1298.25,951.00,1842.45,0.807216
288,1298.25,1254.53,1818.12,0.842871
289,1298.17,667.83,1840.05,0.574840
290,1298.16,638.33,1758.79,0.468614
291,1298.14,707.86,1950.34,0.558293
299,1298.15,343.28,945.82,0.843226
300,1298.06,351.42,968.25,0.843978
301,1298.05,365.91,1008.18,1.001230
302,1298.15,637.50,923.89,1.490912
318,1297.85,605.68,3387.18,0.439116
319,1297.90,585.10,3272.13,0.461287
320,1297.86,582.55,3257.85,0.478220
321,1297.88,611.33,3418.82,0.456599
322,1297.91,633.51,3542.83,0.533205
323,1297.85,850.62,2343.71,0.278890
324,1298.19,406.65,2274.16,0.208480
325,1298.32,589.48,3296.60,0.232513
326,1298.20,581.08,3249.61,0.236862
327,1298.30,602.73,3370.71,0.256852
328,1297.37,749.03,4188.88,0.299034
329,1298.68,937.62,5243.56,0.808580
330,1295.23,727.46,4068.26,0.377239
331,1298.01,504.66,4250.77,0.204652
332,1298.05,488.65,4115.96,0.199466
333,1298.22,505.13,4254.80,0.220333
334,1298.51,566.82,3169.88,0.136986
335,1298.40,548.28,3066.23,0.151214
336,1298.82,601.18,3362.02,0.136399
337,1298.68,577.88,3231.73,0.163763
338,1298.52,481.93,4059.34,0.190086
339,1298.65,472.93,3983.57,0.205706
340,1298.82,492.28,4146.56,0.189352
342,1299.50,20.80,681.39,13.621913
343,1299.53,190.87,2335.32,8.906619
344,1299.11,441.78,5405.27,0.325563
345,1298.90,445.86,5455.13,0.175259
346,1297.78,440.11,5384.83,0.227422
347,1297.96,281.09,9206.83,0.169638
348,1297.83,175.06,5733.89,0.149758
349,1297.59,60.49,6076.16,0.172504
350,1297.58,353.56,4325.93,0.118667
351,1297.44,537.33,4526.00,0.142551
